Year,Header,Source,URL
2015,"Животные, вымершие после 1500 года — Википедия",ru.wikipedia.org/.../,"https://ru.wikipedia.org/wiki/%D0%96%D0%B8%D0%B2%D0%BE%D1%82%D0%BD%D1%8B%D0%B5,_%D0%B2%D1%8B%D0%BC%D0%B5%D1%80%D1%88%D0%B8%D0%B5_%D0%BF%D0%BE%D1%81%D0%BB%D0%B5_1500_%D0%B3%D0%BE%D0%B4%D0%B0"
2015,Вымирающие виды | Животный мир,faunazoo.ru/zoo/vymirayushhie-vidy,http://faunazoo.ru/zoo/vymirayushhie-vidy
2015,Недавно вымершие животные смотреть видео прикол - 10:02,ochepyatki.ru/view_video.php?viewkey=5695665,http://ochepyatki.ru/view_video.php?viewkey=5695665
2015,Вымирание / Extinction (2015),cinemaxx.ru/4/31712-vymiranie-extinction-2015.html,http://cinemaxx.ru/4/31712-vymiranie-extinction-2015.html
2015,Вымершие виды животных,art-assorty.ru/136-vymershie-vidy-zhivotnyh.html,http://art-assorty.ru/136-vymershie-vidy-zhivotnyh.html
2015,Гонка на вымирание (2015) смотреть онлайн бесплатно в hd...,kinozz.net/2694-gonka-na-vymiranie.html,http://kinozz.net/2694-gonka-na-vymiranie.html
2015,Армагеддон животных : Триасовое вымирание | Видео...,portall.zp.ua/?...,http://portall.zp.ua/?c=video&q=%D0%90%D1%80%D0%BC%D0%B0%D0%B3%D0%B5%D0%B4%D0%B4%D0%BE%D0%BD%20%D0%B6%D0%B8%D0%B2%D0%BE%D1%82%D0%BD%D1%8B%D1%85%20%3A%20%D0%A2%D1%80%D0%B8%D0%B0%D1%81%D0%BE%D0%B2%D0%BE%D0%B5%20%D0%B2%D1%8B%D0%BC%D0%B8%D1%80%D0%B0%D0%BD%D0%B8%D0%B5
2015,вымирание | STENA.ee,www.stena.ee/taxonomy/term/775/0,http://www.stena.ee/taxonomy/term/775/0
2015,"10 видов животных, которым в России грозит вымирание | Форум",allfriends.mybb.ru/viewtopic.php?id=2057,http://allfriends.mybb.ru/viewtopic.php?id=2057
2015,Гонка на вымирание (2015) смотреть онлайн бесплатно,kinoklad.net/4597-gonka-na-vymiranie-2015.html,http://kinoklad.net/4597-gonka-na-vymiranie-2015.html
2016,"25 видов животных, находящихся на грани вымирания | Terramia",terramia.ru/.../,http://terramia.ru/chelovek-i-priroda/25-vidov-zhivotnyh-nahodyashhihsya-na-grani-vymiraniya/
2016,"Древние животные: 10 вымерших зверей, которые ""спасли""...",tech.obozrevatel.com/.../70453-top-1...iraniya.htm,http://tech.obozrevatel.com/science/70453-top-10-drevnih-zhivotnyih-kotoryie-spasli-cheloveka-ot-vyimiraniya.htm
2016,Массовое вымирание: ...новость о скорой гибели животных...,rrnews.ru/articles/u5565/2015/06/20/121333,http://rrnews.ru/articles/u5565/2015/06/20/121333
2016,Вымирающие виды — Википедия,ru.wikipedia.org/wiki/Вымирающие_виды,https://ru.wikipedia.org/wiki/%D0%92%D1%8B%D0%BC%D0%B8%D1%80%D0%B0%D1%8E%D1%89%D0%B8%D0%B5_%D0%B2%D0%B8%D0%B4%D1%8B
2016,"А вот и 10животных, которых мы благодарим за их вымирание.",www.myplanet-ua.com/.../,http://www.myplanet-ua.com/10-%D0%B6%D0%B8%D0%B2%D0%BE%D1%82%D0%BD%D1%8B%D1%85-%D0%BA%D0%BE%D1%82%D0%BE%D1%80%D1%8B%D1%85-%D0%BC%D1%8B-%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D0%B4%D0%B0%D1%80%D0%B8%D0%BC-%D0%B7%D0%B0-%D0%B8%D1%85/
2016,Вымирающие виды | Животный мир,faunazoo.ru/zoo/vymirayushhie-vidy,http://faunazoo.ru/zoo/vymirayushhie-vidy
2016,Вымершие виды животных,art-assorty.ru/136-vymershie-vidy-zhivotnyh.html,http://art-assorty.ru/136-vymershie-vidy-zhivotnyh.html
2016,Вымершие животные,web-zoopark.ru/vymershie_zhivotnye,http://web-zoopark.ru/vymershie_zhivotnye/
2016,Вымирание животных,www.zoodrug.ru/topic3457.html,http://www.zoodrug.ru/topic3457.html
2016,Лев Сесил и проекции других 160 видов вымирающих животных...,travelask.ru/.../,http://travelask.ru/blog/posts/1588-lev-sesil-i-proektsii-drugih-160-vidov-vymirayuschih-zhivotnyh-na-empayr-steyt-bilding
2017,Вымирающие виды | Животный мир,faunazoo.ru/zoo/vymirayushhie-vidy,http://faunazoo.ru/zoo/vymirayushhie-vidy
2017,Вымирание животных,www.zoodrug.ru/topic3457.html,http://www.zoodrug.ru/topic3457.html
2017,Вымершие виды животных,art-assorty.ru/136-vymershie-vidy-zhivotnyh.html,http://art-assorty.ru/136-vymershie-vidy-zhivotnyh.html
2017,Вымирание животных - Презентация 12415-21,900igr.net/.../021-vymiranie-zhivotnykh.html,http://900igr.net/prezentatsii/ekologija/globalnye-problemy-sovremennogo-mira/021-vymiranie-zhivotnykh.html
2017,"А вот и 10животных, которых мы благодарим за их вымирание.",www.myplanet-ua.com/.../,http://www.myplanet-ua.com/10-%D0%B6%D0%B8%D0%B2%D0%BE%D1%82%D0%BD%D1%8B%D1%85-%D0%BA%D0%BE%D1%82%D0%BE%D1%80%D1%8B%D1%85-%D0%BC%D1%8B-%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D0%B4%D0%B0%D1%80%D0%B8%D0%BC-%D0%B7%D0%B0-%D0%B8%D1%85/
2017,вымирание | STENA.ee,www.stena.ee/taxonomy/term/775/0,http://www.stena.ee/taxonomy/term/775/0
2017,10 вымерших видов животных по вине человека | Только Факты!,t-fakt.ru/.../,http://t-fakt.ru/10-vyimershih-vidov-zhivotnyih-po-vine-cheloveka
2017,"Млекопитающие: Вымершее животное, с которым очень часто...",www.zooeco.com/0-ginnesa-isch.html,http://www.zooeco.com/0-ginnesa-isch.html
2017,Вымирание животных - это нормально?,www.rinpro.ru/news/post_1347446920.html,http://www.rinpro.ru/news/post_1347446920.html
2017,"вымершие животные, сходное... - Школьные Знания.com",znanija.com/task/6635414,http://znanija.com/task/6635414
2018,"25 видов животных, находящихся на грани вымирания | Terramia",terramia.ru/.../,http://terramia.ru/chelovek-i-priroda/25-vidov-zhivotnyh-nahodyashhihsya-na-grani-vymiraniya/
2018,Вымирающие виды | Животный мир,faunazoo.ru/zoo/vymirayushhie-vidy,http://faunazoo.ru/zoo/vymirayushhie-vidy
2018,Вымирание животных,www.zoodrug.ru/topic3457.html,http://www.zoodrug.ru/topic3457.html
2018,Вымершие виды животных,art-assorty.ru/136-vymershie-vidy-zhivotnyh.html,http://art-assorty.ru/136-vymershie-vidy-zhivotnyh.html
2018,Вымирание животных - Презентация 12415-21,900igr.net/.../021-vymiranie-zhivotnykh.html,http://900igr.net/prezentatsii/ekologija/globalnye-problemy-sovremennogo-mira/021-vymiranie-zhivotnykh.html
2018,"А вот и 10животных, которых мы благодарим за их вымирание.",www.myplanet-ua.com/.../,http://www.myplanet-ua.com/10-%D0%B6%D0%B8%D0%B2%D0%BE%D1%82%D0%BD%D1%8B%D1%85-%D0%BA%D0%BE%D1%82%D0%BE%D1%80%D1%8B%D1%85-%D0%BC%D1%8B-%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D0%B4%D0%B0%D1%80%D0%B8%D0%BC-%D0%B7%D0%B0-%D0%B8%D1%85/
2018,10 вымерших видов животных по вине человека | Только Факты!,t-fakt.ru/.../,http://t-fakt.ru/10-vyimershih-vidov-zhivotnyih-po-vine-cheloveka
2018,"Млекопитающие: Вымершее животное, с которым очень часто...",www.zooeco.com/0-ginnesa-isch.html,http://www.zooeco.com/0-ginnesa-isch.html
2018,Вымирание животных - это нормально?,www.rinpro.ru/news/post_1347446920.html,http://www.rinpro.ru/news/post_1347446920.html
2018,"вымершие животные, сходное... - Школьные Знания.com",znanija.com/task/6635414,http://znanija.com/task/6635414
